12:7:6,20.938,20.938,-17.875,-18.000,-17.438,-1002.000,-1002.000,-1002.000,21.360,0.000,0.000,0.000,937.439,929.770,0.000,0.099,0.000,
12:7:7,20.938,20.938,-17.875,-18.000,-17.500,-1002.000,-1002.000,-1002.000,21.360,0.000,0.000,0.000,937.439,929.690,0.000,0.099,0.000,
12:7:9,20.938,20.938,-17.938,-18.063,-17.500,-1002.000,-1002.000,-1002.000,21.360,0.000,0.000,0.000,937.439,929.820,0.000,0.099,0.000,
12:7:9,20.938,20.938,-17.938,-18.063,-17.500,-1002.000,-1002.000,-1002.000,21.360,0.000,0.000,0.000,937.439,929.760,0.000,0.099,0.000,
12:7:10,20.938,20.938,-17.938,-18.063,-17.500,-1002.000,-1002.000,-1002.000,21.360,0.000,0.000,0.000,937.439,929.880,0.000,0.099,0.000,
12:7:12,21.000,20.938,-17.938,-18.063,-17.500,-1002.000,-1002.000,-1002.000,21.360,0.000,0.000,0.000,936.461,929.830,0.000,0.099,0.000,
12:7:12,21.000,21.000,-17.938,-18.063,-17.563,-1002.000,-1002.000,-1002.000,21.350,0.000,0.000,0.000,934.506,929.830,0.000,0.099,0.000,
12:7:23,-60.000,-60.000,-60.000,-60.000,-60.000,-1002.000,-1002.000,-1002.000,21.380,0.000,0.000,0.000,936.461,929.710,0.000,0.099,0.000,
12:7:24,20.938,21.063,-18.125,-18.188,-17.625,-1002.000,-1002.000,-1002.000,21.380,0.000,0.000,0.000,935.484,929.740,0.000,0.099,0.000,
12:7:25,20.938,21.125,-18.063,-18.188,-17.688,-1002.000,-1002.000,-1002.000,21.380,0.000,0.000,0.000,937.439,929.750,0.000,0.099,0.000,
12:7:26,21.000,21.125,-18.063,-18.250,-17.688,-1002.000,-1002.000,-1002.000,21.380,0.000,0.000,0.000,938.416,929.830,0.000,0.099,0.000,
12:7:27,20.938,21.125,-18.063,-18.250,-17.688,-1002.000,-1002.000,-1002.000,21.380,0.000,0.000,0.000,937.439,929.700,0.000,0.099,0.000,
12:7:28,21.000,21.125,-18.125,-18.250,-17.688,-1002.000,-1002.000,-1002.000,21.390,0.000,0.000,0.000,937.439,929.810,0.000,0.099,0.000,
12:7:29,20.938,21.125,-18.125,-18.250,-17.688,-1002.000,-1002.000,-1002.000,21.380,0.000,0.000,0.000,936.461,929.770,0.000,0.099,0.000,
12:7:30,21.000,21.125,-18.125,-18.250,-17.688,-1002.000,-1002.000,-1002.000,21.390,0.000,0.000,0.000,937.439,929.920,0.000,0.099,0.000,
12:7:31,20.938,21.125,-18.125,-18.250,-17.688,-1002.000,-1002.000,-1002.000,21.400,0.000,0.000,0.000,937.439,929.790,0.000,0.099,0.000,
